ticker;shares;costdate
APLD;8690.928363;2026-04-27
WULF;14898.774532;2026-04-27
CIFR;12320.64046;2026-04-27
BTBT;9931.986541;2026-04-27
BITF;18334.130584;2026-04-27
GLXY;5834.636874;2026-04-27
