ticker;shares;costdate
RWE;248.947924;2025-12-17
ENGI;886.482402;2025-12-17
SSE;420.5321;2025-12-17
EOAN;911.648689;2025-12-17
PGE;782.784916;2025-12-17
IBE;2357.672135;2025-12-17
