name,positions,gmv,sharpe,ir,total_vol,idio_vol,pct_idio,annual_return,max_dd,status
Dynamic_AI,29,64554597.87252998,1.1583976206895932,2.178265789220378,0.350563739696078,0.14909919722922407,0.18089086021102335,0.45649220196398255,-0.28882231895025623,OK
Electronic_Warfare,6,7491230.656669617,2.444862780894136,2.645648853410467,0.5866592639558623,0.4873733862960527,0.6901631296975156,1.4847013995124363,-0.5041682757395461,OK
Fiscal_Primacy,19,54576931.30434227,1.7512513550954174,2.132538582213312,0.29494298254356355,0.1750428231901738,0.35221875954973975,0.5669192978552996,-0.28762236785440265,OK
GLP1s,8,12895483.942322731,1.2220561586629717,0.8503567347460811,0.28785892931280077,0.2541544175172457,0.7795355291161244,0.4021797773928374,-0.13086616403665574,OK
MedTech_Healthcare,14,28030294.80547142,1.0816844034683242,1.2489260271969769,0.3804701849157621,0.32011559174635046,0.7079007890124234,0.4619486650080891,-0.42950564542812075,OK
Natural_Gas,30,29894014.365963936,1.3643896723797382,1.53962018761437,0.2210347649471422,0.13356305207868494,0.3651333461914893,0.35197755053076357,-0.20158669586632738,OK
Own_Portfolio,27,29525.590158462524,1.6177295720312184,3.068551821596037,0.35435715779058546,0.15912550403054834,0.20164950732490988,0.6236540532187628,-0.28140379844862806,OK
Own_Portfolio_2,27,29525.590158462524,1.6177295720312184,3.068551821596037,0.35435715779058546,0.15912550403054834,0.20164950732490988,0.6236540532187628,-0.28140379844862806,OK
Robotics,21,29533325.67394638,2.3347083380977223,1.6945515044718262,0.27771369888704867,0.1617517718284188,0.33923721368439363,0.6987804883955525,-0.10597105073904334,OK
Small_Themes,18,18398527.133771658,1.4385418910713659,1.9956756537817788,0.3153792486845844,0.18000559576288977,0.32576602126568927,0.5040862608073883,-0.3218098274754443,OK
