ticker;shares;costdate
VSCO;43765;2025-10-14
RKT;119500;2025-08-12
NRDS;150850;2025-12-01
SPHR;13828;2025-09-22
REAL;75975;2025-08-17
LUXE;116131;2025-10-27
LC;54443;2025-10-14
DIBS;159637;2025-10-27
IPAR;10908;2025-10-14
SBUX;8796;2025-10-14
RYAAY;10378;2025-08-17
GAP;26234;2025-08-24
FUN;44698;2025-10-20
PSKY;37652;2025-09-22
ENSG;2755;2025-08-12
ADUS;3936;2025-08-12
IZEA;89939;2025-08-17
CMRC;71463;2025-08-12
