ticker;shares;costdate
LLY;4777;2023-07-10
WW;122125;2025-07-22
LWAY;84352;2025-07-22
NGVC;44312;2025-07-22
PLNT;6681;2025-11-05
LTH;22009;2025-07-22
EOLS;76849;2025-07-22
HALO;8068;2025-11-05
