ticker,sector,market_cap,book_value,price_to_book,roe,trailing_pe,forward_pe,dividend_yield,beta,avg_volume,current_price,volatility_60d,momentum_60d,avg_volume_60d
BMRC,Financials,432357152.0,24.741,1.0852432,-0.08596,43.306454,10.488281,3.72,0.845,89980,26.85,0.28230055664675746,0.0527138665193565,89372.58064516129
FRPH,Real Estate,457052128.0,22.383,1.0682214,0.00971,95.64,56.928574,,0.568,73319,23.91,0.2669064317909699,0.00886072057858489,72837.09677419355
GIC,Industrials,1176375936.0,8.209,3.7227435,0.22849001,17.462856,15.434343,3.4,0.872,96426,30.56,0.19144688672630794,0.08564235527047304,97201.6129032258
ONTF,Information Technology,338427552.0,3.385,2.354505,-0.20198,,60.150944,,0.621,326331,7.97,0.8562030158765381,0.44384054669034834,322612.9032258064
GPRE,Energy,800309568.0,10.69,1.07203,-0.22003001,,104.897026,,1.45,1378352,11.46,0.6371936110955777,0.11478602488589074,1377538.7096774194
DHIL,Financials,463601152.0,66.447,2.578747,0.27335,9.944864,,3.5,0.784,35275,171.35,0.9154485062634109,0.3954346140688505,35103.22580645161
SRTA,Health Care,421468672.0,4.177,1.1683027,-0.24500999,,,,-0.21,931827,4.88,0.6864642816836184,-0.029821091274496614,925762.9032258064
MTW,Industrials,458284608.0,19.247,0.67127347,0.088199995,8.075,16.313131,,1.881,239860,12.92,0.40772695590941743,0.27040314448081393,240725.8064516129
SPT,Information Technology,535663616.0,3.281,2.7583055,-0.2669,,10.0974045,,0.805,1223442,9.05,0.5258289087912243,-0.11879262051118422,1221659.677419355
BAND,Communication,426386496.0,12.868,1.0856388,-0.03201,,6.515858,,2.103,207616,13.97,0.3907062866151782,-0.13498448315752065,212485.48387096773
OFIX,Health Care,523903488.0,11.197,1.1815665,-0.246,,18.9,,0.79,224557,13.23,0.35170341411333494,-0.14313472138657335,224006.4516129032
HYLN,Industrials,360747136.0,1.158,1.7702936,-0.25305,,-5.394737,,2.56,1176195,2.05,0.6737674949315337,-0.13502107539862185,1171601.6129032257
BLFY,Financials,273010112.0,16.684,0.7881803,-0.02816,,-87.666664,,0.551,322563,13.15,0.857488896540846,0.5958737844413586,318300.0
ALT,Health Care,701296512.0,1.941,2.8851109,-0.52615,,-4.495428,,0.03,4911059,5.6,0.9863757535813278,0.3827159607161552,4871322.580645162
CRNC,Information Technology,510031648.0,3.474,3.2613702,-0.12828,,13.650602,,2.553,1246277,11.33,0.8581941041256536,0.05591802488974529,1241316.1290322582
HVT,Consumer Discretionary,411876064.0,18.813,1.3458779,0.06319,21.827587,12.114833,5.18,1.233,100954,25.32,0.323280998755117,0.17773845172890157,101859.67741935483
FPI,Real Estate,521444384.0,10.506,1.1050829,0.11981,9.0703125,72.5625,2.1,0.778,538591,11.61,0.2043611059231835,0.18858260505520952,539141.9354838709
CTO,Real Estate,585336896.0,17.053,1.0420455,-0.05804,,161.54546,8.67,0.661,266301,17.77,0.17307874946825919,0.08809106116288623,266488.70967741933
WRLD,Financials,610866816.0,73.25,1.6552901,0.109689996,15.625,11.300094,,1.123,96614,121.25,0.5661592544189168,-0.04879580419814811,96287.09677419355
FMAO,Financials,368911008.0,26.618,1.0079645,0.09151,11.515022,10.306031,3.44,0.847,22644,26.83,0.3531867140078062,0.13257854114393863,22537.09677419355
BVS,Health Care,531123456.0,2.48,3.1975806,0.06379,49.5625,9.974842,,0.792,304331,7.93,0.5272380126847954,0.21068696143792542,303187.0967741936
RDVT,Information Technology,640732736.0,7.284,6.243822,0.115839995,58.307693,35.53125,,1.687,96575,45.48,0.43384064518567295,-0.15196720797241126,96180.64516129032
BWMN,Industrials,605106112.0,15.086,2.308763,0.066479996,35.540817,20.09427,,1.334,136013,34.83,0.6134369074617455,-0.1954261701444826,134935.48387096773
LAB,Health Care,538391552.0,1.234,1.1345218,-0.33261,,-35.0,,1.263,1706536,1.4,0.7095551607211654,0.16666660043928627,1704303.2258064516
