,Country,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,size,beta,momentum,residvol,nlsize,btop,liquidity,earnyild,growth,leverage
2024-04-24,-0.0016372075398737094,-0.002084610580911857,-0.00509860037330221,0.0034810833474989665,-0.0015382648951234152,-0.010618401718725702,-0.007627550709356812,0.0029082340314620842,0.018222259910423023,-0.0004937010615830349,-0.00417412438510938,-0.000991201385451162,0.0007300497942554671,-0.0024373253069842177,0.004088793166985308,-0.0001092314220958778,0.0001334331593846388,0.003464377342842038,0.00031787915972053104,-0.000686063906652149,0.0023410968907977506,-0.0007153828759463337
2024-04-25,-0.01113749192707852,-0.0021423090025146398,0.0005095890677346879,0.002836677591620166,-0.007238545810917518,0.0030357936587137764,0.001723525990059032,-0.007104843735395004,0.008488353565913306,0.0035784714131284717,-0.0013968889864350992,-0.008525967498266321,0.0004294624772131463,-0.010914365513385217,0.0024776209578929015,-0.002402216156645014,-0.0008889866065873741,0.003557047435048654,-0.0004068094151311609,-0.001985879730702983,0.0005355973491783576,0.004326658635172262
2024-04-26,0.011513040002347867,0.006509417070164603,-0.004800436765909231,0.005492375788203084,0.0016266519303178317,0.00017498570317887524,0.006943107803878768,0.0028791256696865685,-0.013561534722205528,-0.0013552695319334457,0.014748849610004593,0.010867737962650776,-0.002410428309414246,0.01111776904979639,0.0018818669625793943,-0.002976246128445002,-0.002594862218180736,-0.0006670640027775684,0.0036931395723412567,0.0014549282875645517,0.00014046935677778318,-0.003930294369388814
2024-04-29,-0.001437434271037104,-0.0055517380222891224,-0.00031965648239674026,-0.0021962001866897844,-0.00041354801370578967,-0.004948928888173837,0.008522142264036126,0.001620525249444658,-0.004377201875446418,0.00022224782702207508,-0.005193975450815213,0.016659987688357632,-0.0031979571164398005,-0.0002859786381035754,-0.004898909035791382,0.0013029772113182128,0.002792371236086922,0.0032897880600124647,-0.001940053303343296,-0.0017399331626712566,-0.0018117213547761695,0.0008920018386189192
2024-04-30,-0.010549063652700946,-0.0022836980771618934,-0.012700332290000754,0.004926101881589431,-0.0041553393054651905,0.005590349089117224,0.00895548302213588,0.001993920371126837,-0.0012804663089319372,0.005873991381415429,0.024326316696900614,-0.0050754282816487025,-2.9351108465482117e-05,-0.006135472020983281,-0.002819671151798454,-0.000788266674965836,-0.002736138086686807,-0.004666699295241169,0.002355233679210823,0.00018638074658217958,-0.0016646309922752538,-0.0013971017448458408
2024-05-02,-0.004888127420898491,0.004239601231217253,0.011871295715872787,-0.020722457255067817,-0.03214462156511348,0.0003842723282356307,0.0037782876050729258,0.00445299131659841,0.004662732334029048,0.0015719003731059457,0.01994069333994475,-0.012419106098142035,-0.0019425050119001354,-0.025785466050076825,0.002996135650107543,0.010560306492632425,0.001383988575501731,0.004003192351630615,0.0033231698503969325,0.00012137828684398673,0.002919981467026557,-0.004256690672934405
2024-05-03,0.006536941576206257,0.007975154083993158,0.002357114046023143,0.005600800959745157,-0.007149288452377996,-0.010327489486252034,-0.006334660324403195,0.00040579833083261913,0.0073114995807402015,-0.0047380728019867195,0.0035204393719302234,0.004510469564997637,-0.00044864772714227005,0.0036237954963897544,0.0015538807367144602,0.0003690871105367299,0.0005787990343967572,-0.0012149718962335579,0.0009072095506837265,-0.0008651373776177268,0.00046527620654638864,0.00023072048356394294
2024-05-06,0.005874989423737406,-0.0035555774878066318,-0.002656221627132067,-0.005910815861539724,0.008669083982121992,0.00504878240331007,-0.003971570264286396,0.0013141526747742851,0.0019516617987634997,0.0011402121700791023,-0.0029708964188720176,-0.0016899955951518767,-0.0016760901004707733,4.619064646870579e-05,0.0016616144773223085,0.0010672547693206032,-9.738258937440755e-05,-0.0009939995827302497,0.0009841467056900203,0.0006570158167067116,-0.0004993495204874627,-0.0005093425856761288
2024-05-07,0.01054014622720442,-0.007455412962979861,-0.00573632580921329,0.0045776544225963455,-0.01260737168305624,0.010340775113344866,-0.0002211089954210019,-0.0029053442013474784,0.004157422112023151,0.0001859442809871647,0.006873661047329337,0.011354469450541334,-0.0004143278755383734,0.005126369398484964,-0.0013033182905238458,0.0009272286712645709,-0.0019760508019119162,-0.0024441051679835618,0.001126436823618484,0.0017620330793517236,-0.0009103494242489761,0.0005431214740806157
2024-05-08,0.002116748517310945,0.00037082787317049186,-0.0005350972105463522,0.006101797250103057,-0.0034290150531264677,0.0031362187210959677,-0.004207481884070579,0.007519615199792975,-0.009725166616646299,-0.006509053759159865,-0.006641690631543808,0.003252458463630974,-8.677501687313381e-05,-0.00019539869204424982,7.371306370741038e-05,-0.00025131507826087066,-0.00033331016373435037,-0.002802832454353416,0.0023398513767323753,0.00038603033019966,-0.0017034406610798684,-0.001147516727114125
