,R2
2024-04-24,0.20520549215102746
2024-04-25,0.3590462529241656
2024-04-26,0.3977668218770265
2024-04-29,0.20715176486882936
2024-04-30,0.4786824153537095
2024-05-02,0.33528823020483856
2024-05-03,0.25413943253618343
2024-05-06,0.3752969973695788
2024-05-07,0.38284500368197893
2024-05-08,0.15083382932835399
2024-05-09,0.21004946880635889
2024-05-10,0.26144967228843086
2024-05-13,0.1473184545476851
2024-05-14,0.2739004298696015
2024-05-15,0.31196931739546574
2024-05-16,0.14837854822829222
2024-05-17,0.2902940850546858
2024-05-20,0.2244442246092332
2024-05-21,0.2987445413421159
2024-05-22,0.2643489970895101
2024-05-23,0.3286858322967837
2024-05-24,0.16462812212394806
2024-05-27,0.3708108680035238
2024-05-28,0.3558589806022404
2024-05-29,0.6821274138695118
2024-05-30,0.36643173255842143
2024-05-31,0.22687398280620952
2024-06-03,0.21219959963534119
2024-06-04,0.48197070949868026
2024-06-05,0.5785964960828884
2024-06-06,0.22250787556429708
2024-06-07,0.33139440875483694
2024-06-10,0.2744770157068487
2024-06-11,0.4917506851560286
2024-06-12,0.4492690097429419
2024-06-13,0.7201810420151892
2024-06-14,0.6255889501884684
2024-06-17,0.25067774899021344
2024-06-18,0.3694998126357256
2024-06-19,0.3017280351667385
2024-06-20,0.5743402478812607
2024-06-21,0.4176810697512173
2024-06-24,0.2927285748748114
2024-06-25,0.302101691789889
2024-06-26,0.27405240571924017
2024-06-27,0.2615603388471245
2024-06-28,0.22720856880457818
2024-07-01,0.4026944953229976
2024-07-02,0.21070663613129414
2024-07-03,0.47768972632783635
2024-07-04,0.36240185075435094
2024-07-05,0.19336509142324232
2024-07-08,0.24704879991466133
2024-07-09,0.5502225878687146
2024-07-10,0.5778599142768435
2024-07-11,0.36685604162041763
2024-07-12,0.36255068633216747
2024-07-15,0.3934764270053237
2024-07-16,0.23355429848524578
2024-07-17,0.49466416384891954
2024-07-18,0.31884925065515346
2024-07-19,0.47005209547849014
2024-07-22,0.3909627969030941
2024-07-23,0.22258333994708213
2024-07-24,0.4556629209025287
2024-07-25,0.39208878646764267
2024-07-26,0.23651830439281318
2024-07-29,0.26575250941210415
2024-07-30,0.19899287997038229
2024-07-31,0.30769178175940914
2024-08-01,0.6502888908254263
2024-08-02,0.7841382994298696
2024-08-05,0.6848877494379032
2024-08-06,0.242787550811298
2024-08-07,0.505584331947913
2024-08-08,0.17025287468237194
2024-08-09,0.26758767291819896
2024-08-12,0.2859449009228284
2024-08-13,0.27086107478133203
2024-08-14,0.2556137345541184
2024-08-15,0.700938098619746
2024-08-16,0.161346570876009
2024-08-19,0.4757707561154605
2024-08-20,0.40504758007905095
2024-08-21,0.3689286909054251
2024-08-22,0.2179058364504135
2024-08-23,0.5454067071445001
2024-08-26,0.30834645037258823
2024-08-27,0.2105872000342054
2024-08-28,0.2736294060678037
2024-08-29,0.54632428766863
2024-08-30,0.21565602882563406
2024-09-02,0.2620688631427954
2024-09-03,0.7012902176615949
2024-09-04,0.637254501426391
2024-09-05,0.49218473213293257
2024-09-06,0.5634157538711198
2024-09-09,0.3388131596739783
2024-09-10,0.36713007300472333
2024-09-11,0.14158980813134092
2024-09-12,0.5092759154258909
2024-09-13,0.4258390843461186
2024-09-16,0.18489448066640235
2024-09-17,0.4893183200636153
2024-09-18,0.3419359357668439
2024-09-19,0.6369253468849966
2024-09-20,0.7134214794785769
2024-09-23,0.2483560206209815
2024-09-24,0.5083704526945767
2024-09-25,0.18527434589243486
2024-09-26,0.6633473256349515
2024-09-27,0.5089539854643683
2024-09-30,0.461798041577685
2024-10-01,0.39554040438273974
2024-10-02,0.2476161821330357
2024-10-03,0.4564093642117628
2024-10-04,0.4284689109544497
2024-10-07,0.257011803074641
2024-10-08,0.47893210292888777
2024-10-09,0.3677856545903667
2024-10-10,0.3755803699207795
2024-10-11,0.341942376298512
2024-10-14,0.3307941781629449
2024-10-15,0.6151532442876114
2024-10-16,0.24922942144016957
2024-10-17,0.261407555389663
2024-10-18,0.28474932244988815
2024-10-21,0.46752906555237805
2024-10-22,0.2644844320485874
2024-10-23,0.2775946488391059
2024-10-24,0.08327613682546053
2024-10-25,0.1022441230121085
2024-10-28,0.17789818239819044
2024-10-29,0.2568665423492128
2024-10-30,0.41899416058198746
2024-10-31,0.3163501829076969
2024-11-01,0.3418445973663431
2024-11-04,0.2773353000844644
2024-11-05,0.2681776531491189
2024-11-06,0.340581167292349
2024-11-07,0.41107462620348545
2024-11-08,0.39593770597134326
2024-11-11,0.3361821380888512
2024-11-12,0.6369680481119511
2024-11-13,0.5289892555422225
2024-11-14,0.655641395053736
2024-11-15,0.4464258138845668
2024-11-18,0.48456417191632317
2024-11-19,0.43730629306327273
2024-11-20,0.36536217973439944
2024-11-21,0.5063020180685023
2024-11-22,0.45832882244733497
2024-11-25,0.5885693574042542
2024-11-26,0.6473918559921985
2024-11-27,0.6812722378525309
2024-11-28,0.688921916517104
2024-11-29,0.6128673287277148
2024-12-02,0.6080144819668629
2024-12-03,0.7116577255982908
2024-12-04,0.6585488970107167
2024-12-05,0.5975391077188223
2024-12-06,0.5945778333367147
2024-12-09,0.45182256827542755
2024-12-10,0.2170069851672014
2024-12-11,0.1954194503035046
2024-12-12,0.14039400175956562
2024-12-13,0.3202028277029081
2024-12-16,0.3887497101084608
2024-12-17,0.39593737818836205
2024-12-18,0.2221107476356945
2024-12-19,0.6893674876761873
2024-12-20,0.39810616394872544
2024-12-23,0.3028554140511498
2024-12-27,0.23152266816433464
