,Country,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,size,beta,momentum,residvol,nlsize,btop,liquidity,earnyild,growth,leverage
2024-04-23,0.005495390072462653,0.0028995229965230822,0.005298481363491911,0.002713147140866392,-0.006449004165613335,0.001344675700040213,0.0031460138854793943,0.0005785426134925588,-0.0005987682126083014,-0.012701741386089035,0.004127233027913211,0.00377026786132272,-0.002343544541084219,9.20067450679915e-19,0.004603759573957878,0.002787117583010101,0.00011857084486736354,0.0004805800118789294,0.0001863315708393621,0.0018403063654915991,0.0006553611595577856,-0.002392124421347599
2024-04-24,0.00035096017548308215,-0.0016619778228844405,-0.007215873925230833,0.003389801521227216,0.005634912221960868,-0.0011135480812127512,0.0014698876537310931,-0.00024058625024640153,0.005686309189779723,0.007024917690893754,-0.012238187646831964,-0.0011877168021125306,-0.004297858593299428,-1.2233172248653881e-18,0.00027004131408701735,0.000419421763406883,-0.0038279298141523917,-0.0015862665434448915,-0.0012242311508549716,0.002044735902839448,-0.00024828673929419315,0.0011489495708475873
2024-04-25,-0.00334446796140269,-0.005641994554007306,-0.00588486807779746,0.0031759615665253767,0.0007815832702841188,0.0003237172418270164,0.01422440062568251,-0.0058185626189868715,-0.005206876989266386,0.0020138102260455976,0.0029991390833646815,-0.005261999937233202,-0.0016214300930360718,-3.2593465026383215e-18,-0.00257742536697553,-0.004494834158298746,-0.0035427581051903716,-0.0010897277319219943,0.0024685618530638324,-0.001914366317904385,0.0026736182077467157,0.000922200017932633
2024-04-26,0.006042699194486323,-0.0012532878154223259,-0.004241239185540234,-0.0005938060064332319,-0.0003364792045903222,0.0032077757125195333,-0.003037460444530115,0.003996159857874378,-0.0008989925892672558,0.0025622264761994366,0.006880293883600907,-0.0017871755443750479,0.00010576719982429145,4.219470458927466e-19,0.0012725302372662065,0.0034461600041627194,0.0013138338661231894,-0.00017401497074185496,0.0014009785051391944,0.0005937522420937024,-0.001545212749760688,0.0003522691219933112
2024-04-29,0.0028459028917655494,-0.00213860798232073,-0.0003952200191814329,-0.003963765800993075,-0.002215833683817577,-0.0001970073321263026,0.0018009809925415006,-0.0011446287265152537,-0.00018244005340171428,0.006235502482913119,-0.0015067742903244648,-0.0024069754485697248,-0.0003558442091517422,2.7013876093411387e-19,-0.003619333235783873,-0.00037578748142724175,0.0032761386847741246,-0.0016597183358546621,-0.000275477434122951,0.0021488485619196997,0.00034229905691989323,0.0014247238832012707
2024-04-30,0.001692192943044218,-0.001745289166262174,0.0022399924402756346,0.007055786483420884,-0.008460831629085985,0.002290470693997469,0.005787931209616626,-0.0002710122826868678,-0.000773153835558345,-0.010198288713375693,-0.0005876793071180176,-0.0020312016226725865,-0.0019944586044698294,-3.0389020258789597e-18,0.0011555012057365662,-0.002462772870671298,-0.0032937494396650373,-0.0018597796144625067,-0.001312556289791712,0.004346621854623509,0.0011934200610224023,0.00031155477623673176
2024-05-01,0.0033044001977078456,0.00829544024578983,-0.00011268669539112006,-0.0009671291523072905,-0.013866540851142506,0.0026059446804290462,0.0037584839073282104,0.0019147551847826377,0.0015071883355369062,-0.002037296540568817,0.006940588089304247,0.006493365256143106,-0.001950510112782237,-4.9342618633196175e-19,-0.0007944334528675402,-0.00019810871569950756,-0.001957011610332552,-0.0011963273180653777,-0.0016059925711460602,0.0038903077700702038,-0.0006861453165889332,0.0015420680889060346
2024-05-02,0.0029139866740581443,0.0016822908410405245,-0.001485287543151812,-0.0010422744158917292,0.0017208936222870676,0.0013578148718410327,-0.0007921980650245534,6.283555478133562e-05,0.0004980392526348272,-0.0007339938713350418,0.011388249435111169,-0.0004395570659489893,0.0006772333289885041,2.0470320139784274e-18,-0.0027657682514517553,0.00031898314285044665,-0.00041189397203645017,0.0008164040785861183,0.0014796452817703936,-0.0012440291906733421,2.4028523816407887e-05,-0.0014369391790844503
2024-05-03,0.002417673386672953,0.0013605432909930765,0.003879698669486464,-0.004892508469598703,-0.007293181222501946,-0.0022182755039184105,5.861004768471639e-05,0.002205323895211262,0.0010289837837482896,0.0014211086386207129,0.0027070021215700804,0.006754564494510375,0.002076064980577321,1.6451062720733221e-18,0.0001838342300723646,0.002749995811423176,0.0016717682417285618,0.0009503266635360456,0.000559947057812839,-0.0037743858105801806,-0.0022890978547805934,-0.001941313056113821
2024-05-07,0.01641679598763478,-0.0027677423195342785,-0.01119149053096151,0.005609475081425581,0.01524064793369922,0.0003126123966219376,0.00650455687150252,-0.006742494165070537,-0.010162933065630868,0.012861057017346227,0.004846523960610047,0.025954778314659765,-0.027420390136888906,-1.5907555586294978e-18,0.0047515461805302545,0.0006164197939376277,-0.013525003667638672,0.019241943660467956,0.006952773897438429,0.014567414294855065,0.0009615093997864879,0.008632839216984278
