,Country,Communication,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,size,beta,momentum,residvol,nlsize,btop,liquidity,earnyild,growth,leverage
2025-02-07,0.003028318409205619,0.0012804680272305593,0.002902917362162556,0.005501578068119019,-0.0229188931277371,0.008618620434666194,-0.014478557319104418,0.004147248116200235,-0.0012852619772786102,0.00654188435797011,0.0055395075452921005,-0.00022418175452490867,-0.00018272328164128305,4.024283703771701e-18,0.001106868116051685,0.0006531365410278338,-0.0019333210038946723,1.4800295354654876e-05,-4.066916144468717e-05,0.0005261504016444461,0.0015896504005182951,0.002367000044468931
2025-02-10,-0.008010300310450694,0.007102304971570005,-0.009601623484164002,0.005075518915130505,0.005637528662859275,0.00475092049167864,-0.0034845877261070893,0.00267391841943042,-0.002445574529959724,-0.0023188753250922857,0.0054902722435499875,0.006015208921632008,0.0039007748057417395,-4.0675567075504533e-19,-0.000380197487217053,0.0015302456293761818,0.0029735616497194263,-0.002246278032415055,0.0014430121178743657,0.0014885545267950087,0.0029596228452595384,0.0016873288044460383
2025-02-11,0.007538839288315054,0.001079010282174143,-0.004123395505611244,-0.0010481024154969777,0.02284317393567123,-0.009003631123767588,-0.009243224603179664,0.004671349804787167,0.004660108712300672,0.005770398527640828,-0.005767173390073148,0.0039567489477856325,-0.0010451911444662636,-7.353549191801543e-18,-0.0012724360047008997,0.0030906437306618883,-0.0017801964691062334,-0.0022451674821275403,0.0016427319386062226,0.0017480820513011326,0.0008859306851932086,0.0007576842548917995
2025-02-12,-0.0019224250636063834,0.0020352247536787895,-0.0003564403433797094,0.007507008520939488,0.00738802832905607,0.002082108784352254,-0.005177837077037618,-0.0008436235136590513,-0.0023681632301411812,0.0012204584102380675,0.0008091555616076851,0.007049632131993044,0.0009804175482627908,3.935626969226939e-18,-0.005144109456107477,-0.0072595872713608735,-0.0013114674648544568,0.001371392614090454,-0.0039014427711123617,0.0014665936848939126,-0.001295100628157934,0.0022061051547066367
2025-02-13,-0.0019000316151215693,0.0031663946269728446,0.0020649845203619273,0.0033867719012638975,-0.02030887383986114,-0.002190019397027788,0.005681463909882321,-0.005989070378860346,0.0004530988626348989,-0.0022160847794117896,-0.002444006155933204,0.006232732686067311,0.0014834792863772075,-4.351033568878369e-18,0.0015686957257110704,0.0014285371492051737,-0.00029948607003175943,-0.001823497335611597,0.004222346147486926,-0.00019844935246719666,0.0005859586606913731,-0.00035861661866491105
2025-02-14,0.011557993831904874,-0.0033567485248308967,0.005707608888414804,0.003034886117180505,-0.0036310281274417417,-0.000446979607653151,-0.0016110776529555074,-0.009309720439916586,0.0019307326770720066,0.005288061447937598,0.0030726238707463934,-0.005448619890307674,-0.0026062783545479275,-2.149335153129708e-18,0.0031946682117253112,0.005021109953539367,-0.0010246246831141256,-0.0004660126472672699,0.0016308028402995539,-0.0011143404692658305,-0.0008382279540561537,-0.0006106295219745396
2025-02-18,0.00019163057193863017,0.0026919096709650215,0.003985264445549374,-0.007870235994226663,0.0019393628715357728,0.003222519776986453,-0.0026925195462310994,0.0012279929441998425,-0.0010089447383147207,-0.005728964716477036,-0.0032725081387810417,-0.004543989906550457,0.00016815313304549824,6.3667580032879865e-18,-0.0016917924655119043,0.002697672970690558,-0.0004281737427648534,0.0012187705398355206,0.002490452771916512,-0.0009617784737072875,-0.0011430032990896839,-0.0001287594738565063
2025-02-19,0.0036888059581177603,-0.010714554438580676,-0.004382451890743941,-0.005383077829019498,0.006285852236723072,0.004286233662145562,-0.007041376534282072,0.0012515257352356834,0.004648457487288273,0.005857682322013965,-0.0003510972703341326,0.00729744377315875,0.0020786902090867794,-9.769328161201476e-19,-0.0041409043712542,0.00022738569025038924,0.0017848722781884725,-0.0014841126501169742,0.002926979211283551,0.00029891418935972376,-0.0014355774264285916,0.00025107109866876186
2025-02-20,0.00138923680258362,-0.002323816818823462,-0.003972094947190353,0.008534570131458844,0.005876256370438122,-0.00235943214925304,0.011940442495884373,-0.0012152430721178904,-0.002125051538721772,-0.01252573141525089,0.0010199072858159226,0.0044716013748987695,0.002398214978541457,7.366249125756305e-18,-0.0025384116806170033,0.0006341057313609266,0.00034911633074955276,-0.00019590239487239893,-0.00211422385132976,0.0006948049155576464,-0.0004646473733857161,-0.0001640341149065634
2025-02-21,-0.00636999225489651,-0.0009269569925097092,-0.0009474965336050607,-0.0005883837259426362,0.00776251506451665,-0.006140262858091636,0.0038610888263422077,-0.0018999843202272802,0.0006527240622429424,0.0014377846595477113,0.0074224420559725725,0.006359101462870821,0.0036986530041705906,-3.2682587642471025e-18,-0.007142822371304847,-0.0005353074866319143,0.0017948059716239243,0.0005048341873850221,-0.0009520182206305469,0.0018923165859533006,-0.0022655500135856208,0.0005736322161903808
