,R2
2024-04-12,0.6468148856669574
2024-04-15,0.5436618461832392
2024-04-16,0.20568384003397355
2024-04-17,0.3233244216867358
2024-04-18,0.1619401963969589
2024-04-19,0.5399458220346001
2024-04-22,0.30741268561919655
2024-04-23,0.48400585234164817
2024-04-24,0.14205662813178488
2024-04-25,0.23758987811215282
2024-04-26,0.2982314352908785
2024-04-29,0.2591940580891301
2024-04-30,0.5437309355283071
2024-05-01,0.22528641639965463
2024-05-02,0.275178558659703
2024-05-03,0.22630574267493375
2024-05-06,0.31397445718482264
2024-05-07,0.11126332404405725
2024-05-08,0.08843137595084605
2024-05-09,0.17007705432385356
2024-05-10,0.12578192993697246
2024-05-13,0.2354051758357142
2024-05-14,0.2977254706767849
2024-05-15,0.3762336961854492
2024-05-16,0.23011609512881437
2024-05-17,0.11925883536699378
2024-05-20,0.2169098177630937
2024-05-21,0.15702969936819378
2024-05-22,0.2131166683685386
2024-05-23,0.5070536441139157
2024-05-24,0.29693361883899616
2024-05-28,0.20077180903887903
2024-05-29,0.40299821717400397
2024-05-30,0.3193753663316591
2024-05-31,0.29278856292857325
2024-06-03,0.200636555009301
2024-06-04,0.301448542769588
2024-06-05,0.50993047286623
2024-06-06,0.13132641117109745
2024-06-07,0.28906422493450346
2024-06-10,0.1687812743228546
2024-06-11,0.14500372527016647
2024-06-12,0.42200649614972197
2024-06-13,0.25107620975831146
2024-06-14,0.3983697451795729
2024-06-17,0.24712260865302094
2024-06-18,0.16253868183598663
2024-06-20,0.20115029109165472
2024-06-21,0.17397659652016761
2024-06-24,0.2865242021711728
2024-06-25,0.33443566483575715
2024-06-26,0.11568597448917173
2024-06-27,0.17703247647691334
2024-06-28,0.18725786277250644
2024-07-01,0.3023699351735495
2024-07-02,0.26744026161554024
2024-07-03,0.28118942508475475
2024-07-05,0.19935400380399426
2024-07-08,0.20685618208931245
2024-07-09,0.24130486887305047
2024-07-10,0.27950465249958334
2024-07-11,0.6595548986960614
2024-07-12,0.32952575856055677
2024-07-15,0.29946701126304653
2024-07-16,0.6490442393142963
2024-07-17,0.6569077338818723
2024-07-18,0.5192452517018797
2024-07-19,0.29566295339582527
2024-07-22,0.4987955572421555
2024-07-23,0.19654266799715303
2024-07-24,0.7515561561670387
2024-07-25,0.23620089671964073
2024-07-26,0.34923473519172177
2024-07-29,0.24816288373301465
2024-07-30,0.3314965005664199
2024-07-31,0.47233327435953887
2024-08-01,0.6148230868687272
2024-08-02,0.6529328251888813
2024-08-05,0.7421876011426364
2024-08-06,0.2840471716091315
2024-08-07,0.28749147672881004
2024-08-08,0.5896955076166145
2024-08-09,0.10384144348316582
2024-08-12,0.2677778411517989
2024-08-13,0.5151043017774943
2024-08-14,0.21359681791316631
2024-08-15,0.6694994667012941
2024-08-16,0.10368501871462033
2024-08-19,0.396635974420948
2024-08-20,0.3288050869555966
2024-08-21,0.3595228227612326
2024-08-22,0.4586813115723619
2024-08-23,0.6948599479817616
2024-08-26,0.15315612327218198
2024-08-27,0.1807332393894302
2024-08-28,0.36320097093848946
2024-08-29,0.15378653356945116
2024-08-30,0.285675181349216
2024-09-03,0.7071909969918596
2024-09-04,0.08521995268846527
2024-09-05,0.11815317133388992
2024-09-06,0.5776731686207153
2024-09-09,0.24049629154767693
2024-09-10,0.16143566986054425
2024-09-11,0.4092335403218994
2024-09-12,0.27854545670415687
2024-09-13,0.5066290684202995
2024-09-16,0.16414411518683514
2024-09-17,0.23937316622225968
2024-09-18,0.09371836307996828
2024-09-19,0.6067845587426666
2024-09-20,0.2739107663385153
2024-09-23,0.22961258916202543
2024-09-24,0.1661994818082687
2024-09-25,0.3422523918500754
2024-09-26,0.4018724369872574
2024-09-27,0.25525425183799344
2024-09-30,0.1900983805494123
2024-10-01,0.5088970980971983
2024-10-02,0.14102129413060926
2024-10-03,0.30483002084990307
2024-10-04,0.4205776783884362
2024-10-07,0.3196111242596761
2024-10-08,0.34471487656978783
2024-10-09,0.22722558322222275
2024-10-10,0.13261171757445123
2024-10-11,0.5454268809778182
2024-10-14,0.21800676138384623
2024-10-15,0.4115202015623589
2024-10-16,0.31083134161419457
2024-10-17,0.12652047404567168
2024-10-18,0.12808537939592524
2024-10-21,0.425803584184673
2024-10-22,0.17830633205436086
2024-10-23,0.29018484078043005
2024-10-24,0.15448247300620688
2024-10-25,0.14201425040183402
2024-10-28,0.40271797697617717
2024-10-29,0.18413650073378074
2024-10-30,0.12326305786653513
2024-10-31,0.3819288967413723
2024-11-01,0.14992443707561875
2024-11-04,0.10784481039368676
2024-11-05,0.3533920375506504
2024-11-06,0.694509842469212
2024-11-07,0.1958101406962185
2024-11-08,0.11573036515591839
2024-11-11,0.31922270364785144
2024-11-12,0.3292691610489623
2024-11-13,0.14231611761946406
2024-11-14,0.3067345901052637
2024-11-15,0.4571318783099174
2024-11-18,0.12828094136496349
2024-11-19,0.30717456920178643
2024-11-20,0.07737038881543845
2024-11-21,0.3130380741812039
2024-11-22,0.39734636331313467
2024-11-25,0.4196633712018907
2024-11-26,0.21645847769001936
2024-11-27,0.20213558475988236
2024-11-29,0.16011055170677502
2024-12-02,0.21215321317811175
2024-12-03,0.16695041398774024
2024-12-04,0.2708916060237795
2024-12-05,0.23871635959042137
2024-12-06,0.3005174330630548
2024-12-09,0.37999739420101153
2024-12-10,0.2664893276416369
2024-12-11,0.26354445635605817
2024-12-12,0.2762622993402831
2024-12-13,0.16367538483072375
2024-12-16,0.2582654564951655
2024-12-17,0.28800434642815276
2024-12-18,0.8683881301137273
2024-12-19,0.129096745586042
2024-12-20,0.3444380235048691
2024-12-23,0.23401715602796835
2024-12-24,0.5003446624302808
2024-12-26,0.20684733905952468
2024-12-27,0.4288847342712597
2024-12-30,0.43040035015188205
2024-12-31,0.30470536219875677
2025-01-02,0.25651345070072973
2025-01-03,0.5400737205287096
2025-01-06,0.2556085478208959
2025-01-07,0.36096536416519975
2025-01-08,0.2500666007061345
2025-01-10,0.39757920845660855
2025-01-13,0.24059270627460916
2025-01-14,0.38130387406216815
2025-01-15,0.5367848459873199
2025-01-16,0.19077425718647867
2025-01-17,0.306875864408223
2025-01-21,0.30916878425971617
2025-01-22,0.2770189667537085
2025-01-23,0.13051694376428535
2025-01-24,0.13699795218515642
2025-01-27,0.603313978945638
2025-01-28,0.36834843269850237
2025-01-29,0.12647116138579262
2025-01-30,0.23541685482127228
2025-01-31,0.24845750538485034
2025-02-03,0.4012390426598167
2025-02-04,0.26995272450076047
2025-02-05,0.23185647127027265
2025-02-06,0.15728106013022825
2025-02-07,0.21000249869628596
2025-02-10,0.22008325095828718
2025-02-11,0.3192104056452566
2025-02-12,0.19075121645472382
2025-02-13,0.19697384970928866
2025-02-14,0.08080468938235874
2025-02-18,0.15149817182491077
2025-02-19,0.13469032979158224
2025-02-20,0.26597768285434265
2025-02-21,0.6698650348549995
2025-02-24,0.3735346665215231
2025-02-25,0.37582476607660686
2025-02-26,0.18730136746355486
2025-02-27,0.4833256336256183
2025-02-28,0.2868543073257933
2025-03-03,0.7104535045668143
2025-03-04,0.430084993147691
2025-03-05,0.41007054818449806
2025-03-06,0.6163468952714868
2025-03-07,0.20118239665156368
2025-03-10,0.7467572903383748
2025-03-11,0.332919498673497
2025-03-12,0.40916727593222857
2025-03-13,0.5008029159941798
2025-03-14,0.7164921954918632
2025-03-17,0.37872697237357933
2025-03-18,0.4469543390486781
2025-03-19,0.55488923236887
2025-03-20,0.1640298731783879
2025-03-21,0.23731768668908737
2025-03-24,0.7203783732811
2025-03-25,0.34792481384871354
2025-03-26,0.6333078934315024
2025-03-27,0.2753207354448789
2025-03-28,0.7104458215637266
2025-03-31,0.3481709677182493
2025-04-01,0.3599411800289801
2025-04-02,0.5251724997876246
2025-04-03,0.9060086572205234
2025-04-04,0.8646854205489364
2025-04-07,0.38794724380339196
2025-04-08,0.6172818325416707
2025-04-09,0.9740690810323301
2025-04-10,0.8541598878428576
2025-04-11,0.4584194184628678
2025-04-14,0.3934657543550588
2025-04-15,0.24451632453725214
2025-04-16,0.5724074079616288
2025-04-17,0.24321209097834284
2025-04-21,0.5843771011234574
2025-04-22,0.629237125851624
2025-04-23,0.5641294959542981
2025-04-24,0.5983651464248545
2025-04-25,0.2697133227069485
2025-04-28,0.15584276754739435
2025-04-29,0.16577041757286348
2025-04-30,0.20535376002170203
2025-05-01,0.15065840673150055
2025-05-02,0.4675348240238687
2025-05-05,0.17956950668625893
2025-05-06,0.32563185362127156
2025-05-07,0.08030436313186706
2025-05-08,0.3528187077947589
2025-05-09,0.09094171093546222
2025-05-12,0.7726541011056277
2025-05-13,0.36140611120798105
2025-05-14,0.2767143703086913
2025-05-15,0.2983870897469658
2025-05-16,0.3097578205542151
2025-05-19,0.1617849023282122
2025-05-20,0.17670020777147
2025-05-21,0.7425586041812433
2025-05-22,0.1441360563314823
2025-05-23,0.19183172341983246
2025-05-27,0.6128113560604913
2025-05-28,0.211008858589407
2025-05-29,0.1795399540666831
