,R2
2006-03-31,0.21268024861601076
2006-04-28,0.2349418615632619
2006-05-31,0.44680508558404164
2006-06-22,
2006-06-30,0.20304159594010296
2006-07-31,0.39056449042261754
2006-08-31,0.4099879175863711
2006-09-29,0.4230903851349006
2006-10-31,0.4171720231513232
2006-11-30,0.4424207118214175
2006-12-29,0.2506440885428183
2007-01-31,0.3513418434823443
2007-02-28,0.2766781261457737
2007-03-30,0.27420440294930837
2007-04-30,0.44208507776058814
2007-05-31,0.46066795795937765
2007-06-29,0.366659100341595
2007-07-31,0.44766488347110667
2007-08-31,0.26219024094616494
2007-09-28,0.5201431426019163
2007-10-31,0.29054739693668574
2007-11-30,0.43190684624118303
2007-12-31,0.311872630163337
2008-01-31,0.5418750771791766
2008-02-29,0.49062459386260815
2008-03-31,0.2531611497727929
2008-04-30,0.470048998507965
2008-05-30,0.359786512950122
2008-06-30,0.7830441081969548
2008-07-31,0.38272119352156564
2008-08-29,0.2620946549881392
2008-09-30,0.7509073389698079
2008-10-31,0.806199565098573
2008-11-28,0.7034683108071869
2008-12-31,0.31164984258575423
2009-01-30,0.6271237289510392
2009-02-27,0.6407685707688114
2009-03-31,0.4672087060009428
2009-04-30,0.7326105072793798
2009-05-29,0.40522584624037605
2009-06-30,0.24522994542735588
2009-07-31,0.5472608645601343
2009-08-31,0.571996950370022
2009-09-30,0.46310870292148243
2009-10-30,0.4867409272453447
2009-11-30,0.5456264435129707
2009-12-31,0.4660849842439385
2010-01-29,0.4439021608572361
2010-02-26,0.3849571293355992
2010-03-31,0.6702316446647738
2010-04-30,0.29331573208847017
2010-05-28,0.7240667673133677
2010-06-30,0.6773220916297031
2010-07-30,0.6484578027013899
2010-08-31,0.5506265647757816
2010-09-30,0.8151973802671936
2010-10-29,0.4265278640346932
2010-11-30,0.3090703707065242
2010-12-31,0.7006894120802301
2011-01-31,0.33355829930767933
2011-02-28,0.40067081143093886
2011-03-31,0.23713635505300745
2011-04-29,0.3695752880437454
2011-05-31,0.2761090582017911
2011-06-30,0.30874210193746987
2011-07-29,0.4268431305169119
2011-08-31,0.7567607370158074
2011-09-30,0.7799215297333617
2011-10-31,0.8315170883415164
2011-11-30,0.20855583757128549
2011-12-30,0.35161175881974294
2012-01-31,0.5959551956660218
2012-02-29,0.43927045976067547
2012-03-30,0.4870535055948966
2012-04-30,0.21278585273361328
2012-05-31,0.7063826806803142
2012-06-29,0.3534724329851132
2012-07-31,0.2006804417698126
2012-08-31,0.39646664803114184
2012-09-28,0.34601026092826714
2012-10-31,0.2432276347964225
2012-11-30,0.19174924725113507
2012-12-31,0.37900577025810933
2013-01-31,0.5943840401436005
2013-02-28,0.22208832028814673
2013-03-28,0.4866757118168684
2013-04-30,0.2752209729026056
2013-05-31,0.5695810889719919
2013-06-28,0.2759303338019009
2013-07-31,0.5321228657398023
2013-08-30,0.40214356447361377
2013-09-30,0.573100447012456
2013-10-31,0.4484724394910632
2013-11-29,0.388949837390843
2013-12-31,0.4018962905620461
2014-01-31,0.36153994748715357
2014-02-28,0.5535458307270648
2014-03-31,0.4207218774637016
2014-04-30,0.407669516715195
2014-05-05,
2014-05-30,0.3750405506846548
2014-06-30,0.4089622771611481
2014-07-31,0.3568344231520518
2014-08-29,0.5562308156340343
2014-09-30,0.46517114769122614
2014-10-31,0.45051547771651046
2014-11-28,0.5171727522904773
2014-12-31,0.18846868285133267
2015-01-30,0.4031863139571008
2015-02-27,0.6592337212899173
2015-03-31,0.23906204671261078
2015-04-30,0.43457697817131435
2015-05-29,0.419329322897142
2015-06-30,0.37013941298036057
2015-07-31,0.42380004223657897
2015-08-31,0.6090029888862493
2015-09-30,0.6008993084137093
