,R2
2024-04-23,0.3409462448069207
2024-04-24,0.24471557890247764
2024-04-25,0.24441901077494788
2024-04-26,0.2842820050441892
2024-04-29,0.3278997458797145
2024-04-30,0.28085438126381734
2024-05-01,0.20562883087986128
2024-05-02,0.19521876657137094
2024-05-03,0.21998956729993657
2024-05-07,0.2762882962048018
2024-05-08,0.255108864345308
2024-05-09,0.19396751239119026
2024-05-10,0.3227520316304838
2024-05-13,0.17855039693375907
2024-05-14,0.16665748708102157
2024-05-15,0.16978283944048866
2024-05-16,0.16268011935861348
2024-05-17,0.20032652363554548
2024-05-20,0.22263466526554654
2024-05-21,0.1704440106302566
2024-05-22,0.3950332858229888
2024-05-23,0.2154381900272686
2024-05-24,0.1702970879951945
2024-05-28,0.21267055642382482
2024-05-29,0.4475059695566763
2024-05-30,0.32965047519929735
2024-05-31,0.12896895301947098
2024-06-03,0.2175812635642913
2024-06-04,0.5424453331777532
2024-06-05,0.15613283384691867
2024-06-06,0.2766524962921464
2024-06-07,0.3672000867920836
2024-06-10,0.25233392687717426
2024-06-11,0.4540692547038164
2024-06-12,0.3292928276022915
2024-06-13,0.4281564421915821
2024-06-14,0.33912041356239764
2024-06-17,0.2726985674270045
2024-06-18,0.457673978909349
2024-06-19,0.1277122704357856
2024-06-20,0.25006582041935443
2024-06-21,0.18522424572352703
2024-06-24,0.20442827058178015
2024-06-25,0.3831132428854369
2024-06-26,0.13009357698624935
2024-06-27,0.21234303590198278
2024-06-28,0.17336179508256144
2024-07-01,0.11693095411731225
2024-07-02,0.25519932723786143
2024-07-03,0.6144427375756136
2024-07-04,0.18850690442714846
2024-07-05,0.20780892203011492
2024-07-08,0.23634347637892206
2024-07-09,0.3618003259960235
2024-07-10,0.41715355388328357
2024-07-11,0.4129556492187747
2024-07-12,0.21823906631587364
2024-07-15,0.2807560863411388
2024-07-16,0.1920894925752059
2024-07-17,0.238433246739291
2024-07-18,0.20405991121620926
2024-07-19,0.5228641741407494
2024-07-22,0.14258388731666205
2024-07-23,0.2580370795745939
2024-07-24,0.1757019306559554
2024-07-25,0.27437895762118414
2024-07-26,0.5726145548840629
2024-07-29,0.2416982083367364
2024-07-30,0.1617128274617894
2024-07-31,0.32238614270364485
2024-08-01,0.6390583319703721
2024-08-02,0.7738908451481532
2024-08-05,0.8367943120895824
2024-08-06,0.5675160033660616
2024-08-07,0.5077207255098197
2024-08-08,0.13651408479616678
2024-08-09,0.24669600068356967
2024-08-12,0.179062587178069
2024-08-13,0.2057653573116378
2024-08-14,0.32708888662795443
2024-08-15,0.3471486125650185
2024-08-16,0.5341177983028353
2024-08-19,0.30240734468939523
2024-08-20,0.47858563537406507
2024-08-21,0.3286799370286767
2024-08-22,0.2923127617543001
2024-08-23,0.3330040360426859
2024-08-27,0.1807144118225018
2024-08-28,0.358670676463415
2024-08-29,0.2823325032015035
2024-08-30,0.22434464401279441
2024-09-02,0.12034000003148915
2024-09-03,0.4297986295440799
2024-09-04,0.3187555806377488
2024-09-05,0.19928550933568323
2024-09-06,0.5720231473666001
2024-09-09,0.42788956985888305
2024-09-10,0.2933098389474391
2024-09-11,0.12426429529120919
2024-09-12,0.5098498306328889
2024-09-13,0.438144874091397
2024-09-16,0.11498086341066716
2024-09-17,0.25344783344672084
2024-09-18,0.3209745326865495
2024-09-19,0.6825262877314948
2024-09-20,0.5239965689209347
2024-09-23,0.16329505414655576
2024-09-24,0.362432735542077
2024-09-25,0.14039528225909625
2024-09-26,0.49291801927187306
2024-09-27,0.34451375081799285
2024-09-30,0.6286477155877395
2024-10-01,0.26649296463251526
2024-10-02,0.2611494911244844
2024-10-03,0.23071866155239706
2024-10-04,0.3699652141256621
2024-10-07,0.24740530353521262
2024-10-08,0.49528524825876896
2024-10-09,0.3537636376067692
2024-10-10,0.17364615792379678
2024-10-11,0.20897420589627547
2024-10-14,0.14885721730461143
2024-10-15,0.31490423136623436
2024-10-16,0.3138547670977807
2024-10-17,0.19184376507644962
2024-10-18,0.13119857161219228
2024-10-21,0.33253971006323213
2024-10-22,0.15829528880045163
2024-10-23,0.25070022665422464
2024-10-24,0.10353630407655068
2024-10-25,0.10177517657215585
2024-10-28,0.14236923537359647
2024-10-29,0.38868527870381664
2024-10-30,0.24271042394155684
2024-10-31,0.44689075361417874
2024-11-01,0.28550509424916015
2024-11-04,0.16616330774281318
2024-11-05,0.29176412095314574
2024-11-06,0.1552174417030473
2024-11-07,0.341137218371636
2024-11-08,0.4645678496794706
2024-11-11,0.3246289530222656
2024-11-12,0.3599134329760658
2024-11-13,0.1801580783281077
2024-11-14,0.30952608075914434
2024-11-15,0.14251083636423734
2024-11-18,0.2785501021191741
2024-11-19,0.08979250546507
2024-11-20,0.17196038117850754
2024-11-21,0.24198857452851497
2024-11-22,0.4679533619953036
2024-11-25,0.2074525268568519
2024-11-26,0.3215246190320801
2024-11-27,0.19822871798456776
2024-11-28,0.14307541514492017
2024-11-29,0.11828459226491161
2024-12-02,0.19791751337966268
2024-12-03,0.2276567850229595
2024-12-04,0.1781570892142964
2024-12-05,0.15652090679967046
2024-12-06,0.14428858704952108
2024-12-09,0.3373900111160081
2024-12-10,0.2656355982960209
2024-12-11,0.15954363660532245
2024-12-12,0.12645406211759191
2024-12-13,0.18359899406632874
2024-12-16,0.2831493106343693
2024-12-17,0.41617252320981735
2024-12-18,0.17881678098639875
2024-12-19,0.5099078715377141
2024-12-20,0.12629888714341742
2024-12-23,0.08369118418603239
2024-12-24,0.2373931633833336
2024-12-27,0.3470002616053902
2024-12-30,0.7990308363361537
2024-12-31,0.7884749321416816
2025-01-02,0.7307046843148605
2025-01-03,0.7860581563834467
2025-01-06,0.3238936030411157
2025-01-07,0.4906933608948071
2025-01-08,0.49588145901034786
2025-01-09,0.21551085489592037
2025-01-10,0.33849044139197404
2025-01-13,0.21156877341280955
2025-01-14,0.21407754985666028
2025-01-15,0.6244612759632195
2025-01-16,0.3454845512452639
2025-01-17,0.44140850309711854
2025-01-20,0.11635831726319856
2025-01-21,0.19398813273319204
2025-01-22,0.09227398486870508
2025-01-23,0.08981394212610205
2025-01-24,0.18674814049741162
2025-01-27,0.24840077531128357
2025-01-28,0.23833447412113973
2025-01-29,0.20521965139416154
2025-01-30,0.3714836408916983
2025-01-31,0.17361741054880997
2025-02-03,0.6296397543752783
2025-02-04,0.2250367076993801
2025-02-05,0.23711588282207974
2025-02-06,0.4213264606690761
2025-02-07,0.2646362073000166
2025-02-10,0.27348805966468526
2025-02-11,0.23427866158120614
2025-02-12,0.10299539949075187
2025-02-13,0.24362295578501703
2025-02-14,0.13245756876577963
2025-02-17,0.24548421931970077
2025-02-18,0.12814001784800622
2025-02-19,0.3244149386012505
2025-02-20,0.1791463763145883
2025-02-21,0.17795034228650797
2025-02-24,0.326064111276114
2025-02-25,0.19840809069801968
2025-02-26,0.34429698858882585
2025-02-27,0.2084418787654413
2025-02-28,0.21930693531165657
2025-03-03,0.1495340907456154
2025-03-04,0.5659592909251239
2025-03-05,0.5472762159143036
2025-03-06,0.13183341578643348
2025-03-07,0.25275284816068744
2025-03-10,0.5153237277158773
2025-03-11,0.33042502037474597
2025-03-12,0.2268638513235114
2025-03-13,0.1800571117590174
2025-03-14,0.43449293805914246
2025-03-17,0.11914533490201118
2025-03-18,0.1999978944417271
2025-03-19,0.24163645926100696
2025-03-20,0.23991347472933178
2025-03-21,0.38885379788379004
2025-03-24,0.2944243108049598
2025-03-25,0.17857580675498996
2025-03-26,0.10255597922607829
2025-03-27,0.29596444865620164
2025-03-28,0.399999754950081
2025-03-31,0.6967212200986614
2025-04-01,0.2654781365010427
2025-04-02,0.1598385353364571
2025-04-03,0.77484613861703
2025-04-04,0.9058641242281619
2025-04-07,0.753863533723807
2025-04-08,0.7360416075328515
2025-04-09,0.6957155243010353
2025-04-10,0.841330531730591
2025-04-11,0.41556585161948634
2025-04-14,0.802999392875061
2025-04-15,0.4865780062100866
2025-04-16,0.12029442827029146
2025-04-17,0.17501223915130093
2025-04-22,0.39054222993209564
2025-04-23,0.44739787205481685
2025-04-24,0.14677537971788324
2025-04-25,0.29551175524097295
2025-04-28,0.39004043465887817
2025-04-29,0.30065077807770224
2025-04-30,0.3054171066466541
2025-05-01,0.2774560496207469
2025-05-02,0.40772704717712127
2025-05-06,0.2601343318039002
2025-05-07,0.23143364820222512
2025-05-08,0.30566265655281855
2025-05-09,0.20409508166486812
2025-05-12,0.353949425415527
2025-05-13,0.45203298868413755
2025-05-14,0.25082243720117314
2025-05-15,0.39631296161533625
2025-05-16,0.4195820494134711
2025-05-19,0.15782393358493674
2025-05-20,0.25217227794519126
2025-05-21,0.22198567651750623
2025-05-22,0.1916818439772906
2025-05-23,0.2416910174036293
2025-05-27,0.40547383841531226
2025-05-28,0.15843099573631336
2025-05-29,0.12660683691836394
2025-05-30,0.27561893161781115
2025-06-02,0.246480079416885
2025-06-03,0.162057165764814
2025-06-04,0.21426608782563605
2025-06-05,0.10686877329853517
2025-06-06,0.27855317653154155
2025-06-09,0.1432570466561237
2025-06-10,0.19946999846419888
2025-06-11,0.1291434199866791
2025-06-12,0.14387534616072917
2025-06-13,0.36610955454723537
2025-06-16,0.2192586935529709
2025-06-17,0.27446450674482614
2025-06-18,0.1515929679971787
2025-06-19,0.3160199321534667
2025-06-20,0.12069454804881974
2025-06-23,0.24366088729556434
2025-06-24,0.3859826755602096
2025-06-25,0.19423045426800278
2025-06-26,0.3470425434629908
2025-06-27,0.43029116970009973
2025-06-30,0.2662393905278243
2025-07-01,0.34338733682452005
2025-07-02,0.3702784305168838
2025-07-03,0.4300209150118396
2025-07-04,0.16667661742166862
2025-07-07,0.19707386698480633
2025-07-08,0.2691757908377629
2025-07-09,0.14613366476428458
2025-07-10,0.4523201694122573
2025-07-11,0.24412239405813108
2025-07-14,0.33494048494882245
2025-07-15,0.17034612873289012
2025-07-16,0.12862902550717592
2025-07-17,0.23445537040021003
2025-07-18,0.2053842315218951
2025-07-21,0.2089196863390409
2025-07-22,0.2770254031111261
2025-07-23,0.4693804779835443
2025-07-24,0.45902607340673285
2025-07-25,0.08743912981676139
2025-07-28,0.21256804184985134
2025-07-29,0.1919543579250893
2025-07-30,0.08519823520142533
2025-07-31,0.2777656130306422
2025-08-01,0.4115354580685632
2025-08-04,0.28797465540555267
2025-08-05,0.11592045581134136
2025-08-06,0.13403250609116302
2025-08-07,0.15750309260165174
2025-08-08,0.20678828996456367
2025-08-11,0.2501893140627147
2025-08-12,0.2706258589494297
2025-08-13,0.24687626351738923
2025-08-14,0.2169344472292407
2025-08-15,0.15476260073478953
2025-08-18,0.2401775117421998
2025-08-19,0.3489480785231355
2025-08-20,0.3457638411919681
2025-08-21,0.15236942925021402
2025-08-22,0.4644100236814003
2025-08-26,0.2612713625291587
2025-08-27,0.15028934845848496
2025-08-28,0.128965789760914
2025-08-29,0.22365402641224086
2025-09-01,0.07015843406128042
2025-09-02,0.48272325473522304
2025-09-03,0.2759751125578833
2025-09-04,0.18018686129819472
2025-09-05,0.3859491066544939
2025-09-08,0.18721587983280275
2025-09-09,0.12001428631336797
2025-09-10,0.27341802005255345
2025-09-11,0.24645544395404761
2025-09-12,0.13526441229071873
2025-09-15,0.2791622636779344
2025-09-16,0.3544864936296823
2025-09-17,0.24971930609475612
2025-09-18,0.21107608546654388
2025-09-19,0.21671610794265983
2025-09-22,0.22061331747214485
2025-09-23,0.2306372726650604
2025-09-24,0.056589435969429336
2025-09-25,0.27937158757071134
2025-09-26,0.30725121800626
2025-09-29,0.253770349629057
2025-09-30,0.2593181353987565
2025-10-01,0.35968395076871873
2025-10-02,0.17280151213384853
2025-10-03,0.3578131149424575
