ticker,shares,date,price,position_value,weight
VSCO,43765,2025-12-19,56.70000076293945,2481475.533390045,0.13469131076100205
RKT,119500,2025-12-19,19.079999923706055,2280059.9908828735,0.12375873332355002
NRDS,150850,2025-12-19,14.369999885559082,2167714.4827365875,0.11766076316558448
SPHR,13828,2025-12-19,93.23999786376953,1289322.690460205,0.069982782757782
REAL,75975,2025-12-19,15.524999618530273,1179511.8460178375,0.0640223908962878
LUXE,116131,2025-12-19,9.010000228881836,1046340.3365802765,0.05679401208666009
LC,54443,2025-12-19,19.649999618530273,1069804.9292316437,0.05806764009473799
DIBS,159637,2025-12-19,5.920000076293945,945051.0521793365,0.051296159579781425
IPAR,10908,2025-12-19,84.16999816894531,918126.3400268555,0.04983472072097228
SBUX,8796,2025-12-19,88.33000183105469,776950.696105957,0.042171887752695154
RYAAY,10378,2025-12-19,72.5,752405,0.0408395788350505
GAP,26234,2025-12-19,28.020000457763672,735076.6920089722,0.03989902049176781
FUN,44698,2025-12-19,14.079999923706055,629347.8365898132,0.03416019376144252
PSKY,37652,2025-12-19,13.050000190734863,491358.6071815491,0.026670315288005113
ENSG,2755,2025-12-19,181.38999938964844,499729.44831848145,0.02712467381370262
ADUS,3936,2025-12-19,112.81999969482422,444059.5187988281,0.0241029814068744
IZEA,89939,2025-12-19,4.619999885559082,415518.1697072983,0.02255379356750301
CMRC,71463,2025-12-19,4.21999979019165,301573.8450064659,0.016369041696600722
