ticker;shares;costdate
XPO;1148.633127;2025-12-17
ODFL;1071.723142;2025-12-17
TFII;1593.286274;2025-12-17
JBHT;860.382912;2025-12-17
KNX;3175.365262;2025-12-17
CHRW;1044.57712;2025-12-17
